Package,Built
abind,3.3.0
acepack,3.3.0
akima,3.3.2
assertthat,3.3.2
backports,3.3.2
BART,3.3.2
base,3.3.3
base64enc,3.3.0
bayesplot,3.3.2
bdsmatrix,3.3.2
BH,3.3.2
bindr,3.3.2
bindrcpp,3.3.2
bitops,3.3.0
boot,3.3.2
brew,3.3.0
broom,3.3.2
callr,3.3.3
car,3.3.2
caTools,3.3.0
CBPS,3.3.0
ccber,3.3.3
cellranger,3.3.0
checkmate,3.3.2
chemometrics,3.3.2
class,3.3.3
cli,3.3.2
clipr,3.3.2
clisymbols,3.3.2
cluster,3.3.2
coda,3.3.2
codetools,3.3.3
colorspace,3.3.2
colourpicker,3.3.2
commonmark,3.3.2
compiler,3.3.3
covr,3.3.2
crayon,3.3.2
crosstalk,3.3.2
cubature,3.3.2
curl,3.3.2
data.table,3.3.2
datasets,3.3.3
DBI,3.3.2
dbplyr,3.3.3
debugme,3.3.2
deldir,3.3.2
DEoptimR,3.3.2
desc,3.3.2
designmatch,3.3.2
devtools,3.3.2
dichromat,3.3.0
digest,3.3.3
dirmult,3.3.0
doParallel,3.3.2
dotCall64,3.3.3
dplyr,3.3.2
DT,3.3.3
dygraphs,3.3.2
e1071,3.3.2
enc,3.3.2
entropy,3.3.0
estimability,3.3.2
evaluate,3.3.2
expm,3.3.2
fastICA,3.3.2
fftwtools,3.3.2
forcats,3.3.2
foreach,3.3.2
foreign,3.3.2
formatR,3.3.2
Formula,3.3.2
fs,3.3.3
gam,3.3.2
gbm,3.3.2
gdata,3.3.2
gdtools,3.3.2
geosphere,3.3.2
GGally,3.3.2
ggplot2,3.3.2
ggplot2movies,3.3.0
gh,3.3.3
git2r,3.3.2
glue,3.3.2
gmodels,3.3.0
gmp,3.3.2
goftest,3.3.2
gpbalancer,3.3.3
gpexperiments,3.3.3
graphics,3.3.3
grDevices,3.3.3
grid,3.3.3
gridBase,3.3.0
gridExtra,3.3.2
gsl,3.3.2
gtable,3.3.0
gtools,3.3.0
gurobi,3.3.1
haven,3.3.3
here,3.3.2
hexbin,3.3.3
highlight,3.3.2
highlite,3.3.3
highr,3.3.0
Hmisc,3.3.2
hms,3.3.3
htmlTable,3.3.3
htmltools,3.3.2
htmlwidgets,3.3.3
httpuv,3.3.2
httr,3.3.2
ibdreg,3.3.0
ica,3.3.0
ids,3.3.2
igraph,3.3.2
ini,3.3.2
inline,3.3.0
intergraph,3.3.0
intervals,3.3.0
irlba,3.3.3
iterators,3.3.2
jsonlite,3.3.2
KernSmooth,3.3.3
knitr,3.3.2
labeling,3.3.0
lars,3.3.0
lattice,3.3.2
latticeExtra,3.3.0
lazyeval,3.3.2
lazyrmd,3.3.0
LearnBayes,3.3.0
lme4,3.3.2
lmtest,3.3.2
locfit,3.3.0
loo,3.3.2
lookup,3.3.3
lsmeans,3.3.2
lubridate,3.3.2
magrittr,3.3.0
mapproj,3.3.2
maps,3.3.2
maptools,3.3.2
markdown,3.3.2
MASS,3.3.2
Matching,3.3.0
MatchIt,3.3.2
Matrix,3.3.2
matrixcalc,3.3.0
MatrixModels,3.3.0
matrixStats,3.3.3
maxLik,3.3.0
mclust,3.3.2
memisc,3.3.2
memoise,3.3.3
methods,3.3.3
mgcv,3.3.3
microbenchmark,3.3.3
mime,3.3.0
miniUI,3.3.0
minqa,3.3.0
miscTools,3.3.2
mnormt,3.3.0
modelr,3.3.2
multcomp,3.3.2
munsell,3.3.0
mvtnorm,3.3.3
