Package,LibPath,Version,Priority,Built
abind,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.4-5,NA,3.3.0
acepack,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.4.1,NA,3.3.0
akima,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.6-2,NA,3.3.2
assertthat,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.2.0,NA,3.3.2
backports,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.1.2,NA,3.3.2
BART,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.3,NA,3.3.2
base,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,3.3.3,base,3.3.3
base64enc,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1-3,NA,3.3.0
bayesplot,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.4.0,NA,3.3.2
bdsmatrix,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.3-3,NA,3.3.2
BH,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.65.0-1,NA,3.3.2
bindr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.1,NA,3.3.2
bindrcpp,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.2,NA,3.3.2
bitops,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0-6,NA,3.3.0
boot,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.3-20,recommended,3.3.2
brew,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.0-6,NA,3.3.0
broom,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.4.3,NA,3.3.2
callr,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.0.1,NA,3.3.3
car,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,2.1-6,NA,3.3.2
caTools,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,1.17.1,NA,3.3.0
CBPS,/Library/Frameworks/R.framework/Versions/3.3/Resources/library,0.12,NA,3.3.0
